task_id,component_index,class_name,slot,db_status,attempt_count,attempts,error_code,started_at,ended_at,actual_grasp_success,review_note
TASK-20260908T064526000816Z,0,마스크,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:45:59.787640+00:00', 'ended_at': '2026-09-08T06:46:50.301010+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:45:59.787,2026-09-08 06:46:50.301,FALSE,
TASK-20260908T065051667419Z,0,마스크,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:51:16.353467+00:00', 'ended_at': '2026-09-08T06:52:06.807218+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:51:16.353,2026-09-08 06:52:06.807,FALSE,
TASK-20260908T065842478845Z,0,마스크,slot_1,FAILED,1,"[{'attempt_no': 1, 'status': 'FAILED', 'started_at': '2026-09-08T06:58:59.476421+00:00', 'ended_at': '2026-09-08T06:59:41.348141+00:00', 'failed_stage': 'PLACE', 'error_code': 'place_failed', 'detail': 'movel failed: result=-1, pose=[-20.0, -700.0, 250.0, 90.0, -150.0, 180.0]'}]",place_failed,2026-09-08 06:58:59.476,2026-09-08 06:59:41.348,FALSE,
TASK-20260908T070429730427Z,0,마스크,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:04:44.630579+00:00', 'ended_at': '2026-09-08T07:05:33.415894+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:04:44.630,2026-09-08 07:05:33.415,FALSE,
TASK-20260908T070930692553Z,0,마스크,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:09:54.284341+00:00', 'ended_at': '2026-09-08T07:10:41.922019+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:09:54.284,2026-09-08 07:10:41.922,TRUE,
TASK-20260908T071342411900Z,0,마스크,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:14:19.104131+00:00', 'ended_at': '2026-09-08T07:15:06.317277+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:14:19.104,2026-09-08 07:15:06.317,FALSE,
TASK-20260908T064526000816Z,1,분유,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:46:50.302144+00:00', 'ended_at': '2026-09-08T06:47:38.701223+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:46:50.302,2026-09-08 06:47:38.701,TRUE,
TASK-20260908T064526000816Z,2,분유,slot_3,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:47:38.702261+00:00', 'ended_at': '2026-09-08T06:48:23.202161+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:47:38.702,2026-09-08 06:48:23.202,TRUE,
TASK-20260908T065051667419Z,1,분유,slot_2,FAILED,1,"[{'attempt_no': 1, 'status': 'FAILED', 'started_at': '2026-09-08T06:52:06.809161+00:00', 'ended_at': '2026-09-08T06:52:39.958746+00:00', 'failed_stage': 'PLACE', 'error_code': 'place_failed', 'detail': 'movel failed: result=-1, pose=[-20.0, -540.0, 250.0, 90.0, -150.0, 180.0]'}]",place_failed,2026-09-08 06:52:06.809,2026-09-08 06:52:39.958,TRUE,특이점도달
TASK-20260908T070429730427Z,1,분유,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:05:33.416799+00:00', 'ended_at': '2026-09-08T07:06:15.716379+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:05:33.416,2026-09-08 07:06:15.716,TRUE,특이점도달
TASK-20260908T070429730427Z,2,분유,slot_3,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:06:15.717428+00:00', 'ended_at': '2026-09-08T07:06:58.119068+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:06:15.717,2026-09-08 07:06:58.119,FALSE,
TASK-20260908T070930692553Z,1,분유,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:10:41.923286+00:00', 'ended_at': '2026-09-08T07:11:32.119966+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:10:41.923,2026-09-08 07:11:32.119,TRUE,
TASK-20260908T070930692553Z,2,분유,slot_3,FAILED,1,"[{'attempt_no': 1, 'status': 'FAILED', 'started_at': '2026-09-08T07:11:32.121163+00:00', 'ended_at': '2026-09-08T07:11:39.473511+00:00', 'failed_stage': 'OBSERVE', 'error_code': 'out_of_workspace', 'detail': '좌표 획득 실패'}]",out_of_workspace,2026-09-08 07:11:32.121,2026-09-08 07:11:39.473,FALSE,좌표획득실패
TASK-20260908T071342411900Z,1,분유,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:15:06.319187+00:00', 'ended_at': '2026-09-08T07:15:49.115396+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:15:06.319,2026-09-08 07:15:49.115,TRUE,
TASK-20260908T071342411900Z,2,분유,slot_3,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:15:49.118905+00:00', 'ended_at': '2026-09-08T07:16:39.115622+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:15:49.118,2026-09-08 07:16:39.115,TRUE,
TASK-20260908T072024958487Z,0,분유,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:20:40.988967+00:00', 'ended_at': '2026-09-08T07:21:30.914819+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:20:40.988,2026-09-08 07:21:30.914,TRUE,
TASK-20260908T072630963561Z,0,분유,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:26:41.234654+00:00', 'ended_at': '2026-09-08T07:27:27.324024+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:26:41.234,2026-09-08 07:27:27.324,TRUE,
